DATAFLOW,LAST UPDATE,freq,iccs,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EE,2017,29,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EE,2018,25,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EE,2019,23,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EE,2020,37,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EL,2008,139,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EL,2009,143,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EL,2010,176,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EL,2011,184,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EL,2012,165,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EL,2013,141,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EL,2014,105,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EL,2015,86,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EL,2016,81,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EL,2017,78,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EL,2018,94,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EL,2019,76,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EL,2020,73,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,ES,2008,407,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,ES,2009,412,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,ES,2010,401,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,ES,2011,385,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,ES,2012,364,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,ES,2013,302,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,ES,2014,323,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,ES,2015,302,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,ES,2016,294,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,ES,2017,307,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,ES,2018,289,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,ES,2019,333,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,ES,2020,298,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FI,2008,133,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FI,2009,120,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FI,2010,119,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FI,2011,110,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FI,2012,88,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FI,2013,89,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FI,2014,88,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FI,2015,82,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FI,2016,74,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FI,2017,67,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FI,2018,86,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FI,2019,88,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FR,2008,975,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FR,2009,804,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FR,2010,797,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FR,2011,874,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FR,2012,814,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FR,2013,802,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FR,2014,765,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FR,2015,880,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FR,2016,884,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FR,2017,813,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FR,2018,779,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FR,2019,861,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,FR,2020,879,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,HR,2008,71,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,HR,2009,49,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,HR,2010,62,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,HR,2011,49,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,HR,2012,51,
