DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2005,31.9,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2006,31.9,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2007,31.3,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2008,29.9,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2009,28.8,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2010,30.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2011,29.8,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2012,30.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2013,30.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2014,31.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2015,29.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2016,29.6,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2017,30.6,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2018,28.9,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2019,28.3,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2020,28.3,b
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IS,2004,24.1,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IS,2005,25.1,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IS,2006,26.3,
