DATAFLOW,LAST UPDATE,freq,unit,lev_limit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,ES,2016,11.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,ES,2017,10.0,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,ES,2018,10.4,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,ES,2019,9.4,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,ES,2020,15.7,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU,2011,11.5,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU,2012,11.3,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU,2013,11.8,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU,2014,12.9,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU,2015,12.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU,2016,11.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU,2017,10.4,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU,2018,10.1,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU,2019,9.4,e
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2007,2011,11.4,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2007,2012,11.2,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2007,2013,11.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2007,2014,12.8,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2007,2015,12.5,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2007,2016,11.4,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2007,2017,10.2,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2007,2018,10.0,e
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2007,2019,9.0,e
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2020,2011,11.7,e
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2020,2012,11.9,e
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2020,2013,12.5,e
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2020,2014,12.9,e
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2020,2015,12.7,e
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2020,2016,11.7,e
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2020,2017,10.3,e
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2020,2018,9.8,e
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU27_2020,2019,9.1,e
