DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HR,2013,9.8,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HR,2014,10.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HR,2015,9.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HR,2016,7.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HR,2017,6.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HR,2018,4.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HR,2019,3.8,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HR,2020,4.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HU,2010,6.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HU,2011,6.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HU,2012,6.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HU,2013,5.8,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HU,2014,4.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HU,2015,4.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HU,2016,3.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HU,2017,2.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HU,2018,2.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HU,2019,2.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HU,2020,2.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IE,2010,9.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IE,2011,10.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IE,2012,10.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IE,2013,9.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IE,2014,7.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IE,2015,6.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IE,2016,5.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IE,2017,4.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IE,2018,3.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IE,2019,3.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IE,2020,3.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IS,2010,6.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IS,2011,5.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IS,2012,4.8,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IS,2013,4.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IS,2014,4.0,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IS,2015,3.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IS,2016,2.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IS,2017,2.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IS,2018,2.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IS,2019,2.8,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IS,2020,4.3,b
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IT,2010,4.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IT,2011,4.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IT,2012,5.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IT,2013,6.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IT,2014,7.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IT,2015,6.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IT,2016,6.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IT,2017,6.4,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IT,2018,6.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IT,2019,5.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,IT,2020,5.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,LT,2010,11.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,LT,2011,9.8,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,LT,2012,8.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,LT,2013,7.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,LT,2014,7.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,LT,2015,6.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,LT,2016,5.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,LT,2017,4.8,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,LT,2018,4.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,LT,2019,4.4,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,LT,2020,6.0,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,LU,2010,2.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,LU,2011,3.0,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,LU,2012,3.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,LU,2013,3.7,
